Player,Club,Nationality
Ederson,Manchester City,Brazil
Zack Steffen,Manchester City,United States
Rúben Dias,Manchester City,Portugal
Aymeric Laporte,Manchester City,Spain
Nathan Aké,Manchester City,Netherlands
John Stones,Manchester City,England
Philippe Sandler,Manchester City,Netherlands
Oleksandr Zinchenko,Manchester City,Ukraine
Benjamin Mendy,Manchester City,France
João Cancelo,Manchester City,Portugal
Kyle Walker,Manchester City,England
Rodri,Manchester City,Spain
Fernandinho,Manchester City,Brazil
Ilkay Gündogan,Manchester City,Germany
Kevin De Bruyne,Manchester City,Belgium
Bernardo Silva,Manchester City,Portugal
Raheem Sterling,Manchester City,England
Phil Foden,Manchester City,England
Ferran Torres,Manchester City,Spain
Riyad Mahrez,Manchester City,Algeria
Patrick Roberts,Manchester City,England
Gabriel Jesus,Manchester City,Brazil
